"id","city","region","href","name","style","area","orientation","decoration","elevator","floor","build_year","sign_time","unit_price","total_price","fangchan_class","school","subway"
101,"nj","高淳","https://nj.lianjia.com/chengjiao/103100555054.html","龙湖文馨苑","1室1厅","40.78平米","南","简装","无电梯","低楼层(共6层)","2007年建板塔结合","2017.02.26","24277","99","None","None","None"
102,"nj","高淳","https://nj.lianjia.com/chengjiao/103100502667.html","龙湖文馨苑","3室2厅","133.09平米","南","毛坯","有电梯","中楼层(共11层)","2007年建板楼","2016.09.25","23293","310","None","None","None"
103,"nj","高淳","https://nj.lianjia.com/chengjiao/103100360273.html","龙湖文馨苑","6室2厅","213.1平米","南 北","毛坯","有电梯","高楼层(共11层)","2006年建板楼","2016.09.18","16190","345","None","None","None"
104,"nj","高淳","https://nj.lianjia.com/chengjiao/103100842317.html","双拜巷教师公寓","2室1厅","50.5平米","南 北","毛坯","无电梯","高楼层(共6层)","2002年建板楼","2017.05.12","24951","126","房屋满五年","None","None"
105,"nj","高淳","https://nj.lianjia.com/chengjiao/103101206399.html","双拜巷教师公寓","2室1厅","51平米","南 北","其他","无电梯","高楼层(共6层)","2000年建板塔结合","2017.04.30","26373","134.5","None","None","None"
106,"nj","高淳","https://nj.lianjia.com/chengjiao/103101035803.html","双拜巷教师公寓","3室2厅","91.6平米","南 北","简装","无电梯","中楼层(共7层)","2000年建板楼","2017.04.10","23341","213.8","房屋满五年","None","距2号线孝陵卫1194米"
107,"nj","高淳","https://nj.lianjia.com/chengjiao/103102129687.html","万达紫金明珠","3室1厅","107.9平米","南 北","精装","有电梯","中楼层(共9层)","2005年建板楼","2018.03.11","27804","300","房屋满两年","None","None"
108,"nj","高淳","https://nj.lianjia.com/chengjiao/103102177311.html","万达江南明珠","2室1厅","83.4平米","南 北","其他","无电梯","中楼层(共5层)","2003年建板楼","2018.03.09","33574","280","None","None","None"
109,"nj","高淳","https://nj.lianjia.com/chengjiao/103101762796.html","万达紫金明珠","1室1厅","38.64平米","北","其他","有电梯","高楼层(共10层)","2006年建板楼","2018.02.28","21093","81.5","None","None","None"
110,"nj","高淳","https://nj.lianjia.com/chengjiao/NJGL86505927.html","裕华名居","3室2厅","127.36平米","东 南 北","其他","有电梯","中楼层(共19层)","板楼","2013.12.21","19473","248","房屋满五年","None","None"
111,"nj","高淳","https://nj.lianjia.com/chengjiao/NJGL86247729.html","裕华名居","3室2厅","126.99平米","东 南 北","其他","有电梯","高楼层(共19层)","板楼","2013.09.28","19372","246","房屋满五年","None","距2号线云锦路998米"
112,"nj","高淳","https://nj.lianjia.com/chengjiao/NJGL85538610.html","裕华名居","3室2厅","117.27平米","南","其他","有电梯","低楼层(共11层)","板楼","2013.03.09","19272","226","None","None","None"
113,"nj","高淳","https://nj.lianjia.com/chengjiao/103101035074.html","雅居乐花园","2室2厅","87.01平米","南 北","精装","有电梯","高楼层(共26层)","2009年建板塔结合","2017.05.31","44248","385","房屋满五年","None","None"
114,"nj","高淳","https://nj.lianjia.com/chengjiao/103100947247.html","雅居乐花园","2室1厅","55.82平米","北","精装","有电梯","中楼层(共11层)","2009年建板塔结合","2017.05.21","33501","187","房屋满五年","None","None"
115,"nj","高淳","https://nj.lianjia.com/chengjiao/103100923703.html","雅居乐花园","4室2厅","191.47平米","南 北","精装","有电梯","高楼层(共26层)","2009年建板塔结合","2017.05.14","36560","700","房屋满五年","None","距3号线武定门1162米"
116,"nj","高淳","https://nj.lianjia.com/chengjiao/NJGL86819051.html","金信花园","5室2厅","208.46平米","南 北","精装","有电梯","高楼层(共8层)","2002年建板楼","2014.04.27","25425","530","None","None","None"
117,"nj","高淳","https://nj.lianjia.com/chengjiao/103100390942.html","龙湖文馨苑","4室2厅","141.33平米","南 北","简装","有电梯","低楼层(共11层)","2007年建板塔结合","2016.08.12","16628","235","房屋满五年","None","None"
118,"nj","高淳","https://nj.lianjia.com/chengjiao/103100060847.html","龙湖文馨苑","2室2厅","97平米","南","精装","有电梯","中楼层(共11层)","2007年建板塔结合","2016.02.01","15650","151.8","房屋满五年","None","None"
119,"nj","高淳","https://nj.lianjia.com/chengjiao/103101143474.html","双拜巷教师公寓","2室1厅","64.4平米","南 北","其他","无电梯","中楼层(共7层)","2000年建板楼","2017.04.03","23292","150","房屋满五年","None","None"
120,"nj","高淳","https://nj.lianjia.com/chengjiao/103100997933.html","双乐园小区","1室1厅","40.47平米","南","其他","无电梯","高楼层(共7层)","1997年建板楼","2017.04.02","20262","82","None","None","距1号线三山街963米"
121,"nj","高淳","https://nj.lianjia.com/chengjiao/103101084779.html","双拜巷教师公寓","2室1厅","66.48平米","南 北","简装","无电梯","中楼层(共7层)","2001年建板楼","2017.03.15","24670","164","None","None","距2号线孝陵卫1155米"
122,"nj","高淳","https://nj.lianjia.com/chengjiao/103101639458.html","万达紫金明珠","2室2厅","85.17平米","南 北","毛坯","有电梯","中楼层(共9层)","2005年建板楼","2018.02.10","26770","228","None","None","None"
